Iteration, Max iteration, Mean abs differential rot err, Min differential rotation err, Mean abs differential trans err, Min differential translation err
0, 500, 0, 0.001, 0, 0.01
1, 500, 0, 0.001, 0, 0.01
2, 500, 0, 0.001, 0, 0.01
3, 500, 0, 0.001, 0, 0.01
4, 500, 0.0162482, 0.001, 0.284232, 0.01
5, 500, 0.0125409, 0.001, 0.169285, 0.01
6, 500, 0.0153042, 0.001, 0.173331, 0.01
7, 500, 0.0181866, 0.001, 0.202001, 0.01
8, 500, 0.0218181, 0.001, 0.231977, 0.01
9, 500, 0.0252538, 0.001, 0.251922, 0.01
10, 500, 0.0271941, 0.001, 0.217905, 0.01
11, 500, 0.0294795, 0.001, 0.184084, 0.01
12, 500, 0.0323099, 0.001, 0.1591, 0.01
13, 500, 0.0356528, 0.001, 0.145916, 0.01
14, 500, 0.037138, 0.001, 0.127733, 0.01
15, 500, 0.0357304, 0.001, 0.102494, 0.01
16, 500, 0.0317366, 0.001, 0.0772089, 0.01
17, 500, 0.0265291, 0.001, 0.0526687, 0.01
18, 500, 0.0217425, 0.001, 0.0343557, 0.01
19, 500, 0.0181403, 0.001, 0.0226426, 0.01
20, 500, 0.0154399, 0.001, 0.0152061, 0.01
21, 500, 0.0133117, 0.001, 0.0109413, 0.01
22, 500, 0.0116627, 0.001, 0.00926746, 0.01
23, 500, 0.0103169, 0.001, 0.00904148, 0.01
24, 500, 0.00919335, 0.001, 0.00932165, 0.01
25, 500, 0.00824351, 0.001, 0.00966363, 0.01
26, 500, 0.00747143, 0.001, 0.00979171, 0.01
27, 500, 0.00686309, 0.001, 0.00981124, 0.01
28, 500, 0.00641857, 0.001, 0.0097495, 0.01
29, 500, 0.00607209, 0.001, 0.00956029, 0.01
30, 500, 0.00575569, 0.001, 0.00949462, 0.01
31, 500, 0.00544908, 0.001, 0.00921688, 0.01
32, 500, 0.00516839, 0.001, 0.00891257, 0.01
33, 500, 0.00489071, 0.001, 0.0087513, 0.01
34, 500, 0.00462257, 0.001, 0.00849498, 0.01
35, 500, 0.0043822, 0.001, 0.00831258, 0.01
36, 500, 0.00412864, 0.001, 0.00826773, 0.01
37, 500, 0.0039288, 0.001, 0.00817832, 0.01
38, 500, 0.00376643, 0.001, 0.00818588, 0.01
39, 500, 0.00359882, 0.001, 0.00822934, 0.01
40, 500, 0.00344942, 0.001, 0.00803171, 0.01
41, 500, 0.00327151, 0.001, 0.00775198, 0.01
42, 500, 0.00310758, 0.001, 0.00728162, 0.01
43, 500, 0.00295922, 0.001, 0.00670988, 0.01
44, 500, 0.00281424, 0.001, 0.0062876, 0.01
45, 500, 0.00271036, 0.001, 0.00588221, 0.01
46, 500, 0.00257598, 0.001, 0.00546329, 0.01
47, 500, 0.00246219, 0.001, 0.00508921, 0.01
48, 500, 0.00236236, 0.001, 0.00473575, 0.01
49, 500, 0.00225414, 0.001, 0.00445867, 0.01
50, 500, 0.00218019, 0.001, 0.00423581, 0.01
51, 500, 0.00210564, 0.001, 0.00413835, 0.01
52, 500, 0.00202663, 0.001, 0.0040751, 0.01
53, 500, 0.00193778, 0.001, 0.00400969, 0.01
54, 500, 0.00185414, 0.001, 0.00403211, 0.01
55, 500, 0.00179435, 0.001, 0.00408404, 0.01
56, 500, 0.00175916, 0.001, 0.00408358, 0.01
57, 500, 0.00175157, 0.001, 0.00402663, 0.01
58, 500, 0.00174524, 0.001, 0.00395495, 0.01
59, 500, 0.00173363, 0.001, 0.00382658, 0.01
60, 500, 0.00170697, 0.001, 0.00370968, 0.01
61, 500, 0.00167572, 0.001, 0.00363111, 0.01
62, 500, 0.00165164, 0.001, 0.00358524, 0.01
63, 500, 0.00163312, 0.001, 0.00355301, 0.01
64, 500, 0.00161753, 0.001, 0.00350859, 0.01
65, 500, 0.00162456, 0.001, 0.00349603, 0.01
66, 500, 0.00162569, 0.001, 0.00348963, 0.01
67, 500, 0.00164102, 0.001, 0.00349721, 0.01
68, 500, 0.00166632, 0.001, 0.00357215, 0.01
69, 500, 0.00168839, 0.001, 0.00366525, 0.01
70, 500, 0.00172685, 0.001, 0.00376124, 0.01
71, 500, 0.00177, 0.001, 0.00387376, 0.01
72, 500, 0.00182548, 0.001, 0.00404709, 0.01
73, 500, 0.00187856, 0.001, 0.00429187, 0.01
74, 500, 0.00192448, 0.001, 0.00464767, 0.01
75, 500, 0.0019818, 0.001, 0.00507983, 0.01
76, 500, 0.00205262, 0.001, 0.00549307, 0.01
77, 500, 0.00213376, 0.001, 0.00579024, 0.01
78, 500, 0.0022474, 0.001, 0.0060322, 0.01
79, 500, 0.00236941, 0.001, 0.00623482, 0.01
80, 500, 0.00249148, 0.001, 0.00649777, 0.01
81, 500, 0.0026405, 0.001, 0.00689657, 0.01
82, 500, 0.00281889, 0.001, 0.00720862, 0.01
83, 500, 0.00300231, 0.001, 0.00745308, 0.01
84, 500, 0.00315973, 0.001, 0.00755992, 0.01
85, 500, 0.00329151, 0.001, 0.00754027, 0.01
86, 500, 0.00340296, 0.001, 0.00753718, 0.01
87, 500, 0.0034965, 0.001, 0.00753633, 0.01
88, 500, 0.00358873, 0.001, 0.00751057, 0.01
89, 500, 0.00368408, 0.001, 0.00752007, 0.01
90, 500, 0.00374967, 0.001, 0.00751688, 0.01
91, 500, 0.00379841, 0.001, 0.00743929, 0.01
92, 500, 0.00387053, 0.001, 0.00744346, 0.01
93, 500, 0.00392614, 0.001, 0.00746232, 0.01
94, 500, 0.00394021, 0.001, 0.00733308, 0.01
95, 500, 0.0039254, 0.001, 0.00716956, 0.01
96, 500, 0.00387199, 0.001, 0.0069001, 0.01
97, 500, 0.00380134, 0.001, 0.00643885, 0.01
98, 500, 0.00375938, 0.001, 0.00612395, 0.01
99, 500, 0.00373346, 0.001, 0.00592685, 0.01
100, 500, 0.0037246, 0.001, 0.00577236, 0.01
101, 500, 0.0037237, 0.001, 0.0058189, 0.01
102, 500, 0.00373501, 0.001, 0.0058726, 0.01
103, 500, 0.00375124, 0.001, 0.00587823, 0.01
104, 500, 0.00373662, 0.001, 0.00585509, 0.01
105, 500, 0.00371268, 0.001, 0.00567341, 0.01
106, 500, 0.00369226, 0.001, 0.0054472, 0.01
107, 500, 0.00363401, 0.001, 0.00517539, 0.01
108, 500, 0.00359516, 0.001, 0.00484648, 0.01
109, 500, 0.00355462, 0.001, 0.00463277, 0.01
110, 500, 0.00351355, 0.001, 0.00444053, 0.01
111, 500, 0.00352279, 0.001, 0.00431995, 0.01
112, 500, 0.00355655, 0.001, 0.00432456, 0.01
113, 500, 0.00362258, 0.001, 0.00431847, 0.01
114, 500, 0.00368101, 0.001, 0.00445083, 0.01
115, 500, 0.00371822, 0.001, 0.00459785, 0.01
116, 500, 0.0037655, 0.001, 0.00471995, 0.01
117, 500, 0.00380376, 0.001, 0.00486701, 0.01
118, 500, 0.00381359, 0.001, 0.0048211, 0.01
119, 500, 0.00381551, 0.001, 0.00468794, 0.01
120, 500, 0.00380552, 0.001, 0.00453352, 0.01
121, 500, 0.00378936, 0.001, 0.00431864, 0.01
122, 500, 0.00382154, 0.001, 0.00421976, 0.01
123, 500, 0.00387499, 0.001, 0.00425008, 0.01
124, 500, 0.00396227, 0.001, 0.00428297, 0.01
125, 500, 0.0040484, 0.001, 0.00439653, 0.01
126, 500, 0.00411274, 0.001, 0.00456925, 0.01
127, 500, 0.00419647, 0.001, 0.00468614, 0.01
128, 500, 0.00420634, 0.001, 0.00482217, 0.01
129, 500, 0.00421004, 0.001, 0.00492454, 0.01
130, 500, 0.00422813, 0.001, 0.00490646, 0.01
131, 500, 0.00425434, 0.001, 0.00488308, 0.01
132, 500, 0.00431769, 0.001, 0.00490304, 0.01
133, 500, 0.00441004, 0.001, 0.00487539, 0.01
134, 500, 0.00449648, 0.001, 0.00487381, 0.01
135, 500, 0.00457513, 0.001, 0.00497024, 0.01
136, 500, 0.0046505, 0.001, 0.00513229, 0.01
137, 500, 0.00471068, 0.001, 0.00530776, 0.01
138, 500, 0.00483586, 0.001, 0.00550683, 0.01
139, 500, 0.00498675, 0.001, 0.00570063, 0.01
140, 500, 0.00520366, 0.001, 0.00587297, 0.01
141, 500, 0.0054723, 0.001, 0.00611782, 0.01
142, 500, 0.00572888, 0.001, 0.00645937, 0.01
143, 500, 0.00603494, 0.001, 0.00684039, 0.01
144, 500, 0.00635277, 0.001, 0.0072141, 0.01
145, 500, 0.00667207, 0.001, 0.00740549, 0.01
146, 500, 0.00706886, 0.001, 0.00731539, 0.01
147, 500, 0.00750794, 0.001, 0.00705859, 0.01
148, 500, 0.00792752, 0.001, 0.00688844, 0.01
149, 500, 0.00836114, 0.001, 0.00692622, 0.01
150, 500, 0.00877844, 0.001, 0.00721904, 0.01
151, 500, 0.0092892, 0.001, 0.00759197, 0.01
152, 500, 0.0100909, 0.001, 0.0077184, 0.01
153, 500, 0.0115098, 0.001, 0.00780237, 0.01
154, 500, 0.0137724, 0.001, 0.00799297, 0.01
155, 500, 0.016863, 0.001, 0.0082081, 0.01
156, 500, 0.0201211, 0.001, 0.00971068, 0.01
157, 500, 0.0232204, 0.001, 0.0121395, 0.01
158, 500, 0.0259667, 0.001, 0.015191, 0.01
159, 500, 0.0281554, 0.001, 0.0192262, 0.01
160, 500, 0.0301477, 0.001, 0.0228952, 0.01
161, 500, 0.0319661, 0.001, 0.0260396, 0.01
162, 500, 0.033069, 0.001, 0.0279765, 0.01
163, 500, 0.0334009, 0.001, 0.028255, 0.01
164, 500, 0.0326783, 0.001, 0.0275662, 0.01
165, 500, 0.030834, 0.001, 0.0262342, 0.01
166, 500, 0.0284641, 0.001, 0.0254022, 0.01
167, 500, 0.0257973, 0.001, 0.025286, 0.01
168, 500, 0.0235265, 0.001, 0.0254098, 0.01
169, 500, 0.0217426, 0.001, 0.0255009, 0.01
170, 500, 0.0203927, 0.001, 0.0253423, 0.01
171, 500, 0.0192989, 0.001, 0.02482, 0.01
172, 500, 0.0181086, 0.001, 0.0237046, 0.01
173, 500, 0.0166615, 0.001, 0.0225065, 0.01
174, 500, 0.0150521, 0.001, 0.0213758, 0.01
175, 500, 0.0134193, 0.001, 0.0200146, 0.01
176, 500, 0.0119325, 0.001, 0.0185995, 0.01
177, 500, 0.0107375, 0.001, 0.0169851, 0.01
178, 500, 0.00968406, 0.001, 0.0148337, 0.01
179, 500, 0.00879625, 0.001, 0.0127257, 0.01
